Financial Ratio Edge Cases
============================================================

ABB Dec 2012 | ROE Difference = 12.49%
BAJAJFINSV Mar 2020 | ROCE Difference = 9.62%
BAJAJFINSV Mar 2021 | ROE Difference = 8.84%
BAJAJFINSV Mar 2021 | ROCE Difference = 9.18%
BAJAJFINSV Mar 2022 | ROE Difference = 8.94%
BAJAJFINSV Mar 2022 | ROCE Difference = 10.49%
BAJAJFINSV Mar 2023 | ROE Difference = 14.59%
BAJAJFINSV Mar 2023 | ROCE Difference = 9.59%
BAJAJFINSV Mar 2024 | ROE Difference = 14.13%
BAJAJFINSV Mar 2024 | ROCE Difference = 9.43%
BAJAJHLDNG Mar 2013 | ROCE Difference = 9.99%
BAJAJHLDNG Mar 2014 | ROCE Difference = 9.77%
BAJAJHLDNG Mar 2015 | ROCE Difference = 9.49%
BAJAJHLDNG Mar 2016 | ROCE Difference = 10.29%
BAJAJHLDNG Mar 2017 | ROCE Difference = 9.58%
BAJAJHLDNG Mar 2018 | ROCE Difference = 11.69%
BAJAJHLDNG Mar 2019 | ROCE Difference = 11.81%
BAJAJHLDNG Mar 2020 | ROCE Difference = 12.02%
BAJAJHLDNG Mar 2021 | ROCE Difference = 12.16%
BAJAJHLDNG Mar 2022 | ROE Difference = 5.17%
BAJAJHLDNG Mar 2022 | ROCE Difference = 12.25%
BAJAJHLDNG Mar 2023 | ROCE Difference = 12.24%
BAJAJHLDNG Mar 2024 | ROCE Difference = 10.22%
BAJFINANCE Mar 2015 | ROCE Difference = 6.33%
BAJFINANCE Mar 2016 | ROCE Difference = 6.60%
BAJFINANCE Mar 2017 | ROCE Difference = 6.38%
BAJFINANCE Mar 2018 | ROE Difference = 6.35%
BAJFINANCE Mar 2018 | ROCE Difference = 6.91%
BAJFINANCE Mar 2019 | ROCE Difference = 7.40%
BAJFINANCE Mar 2020 | ROE Difference = 5.82%
BAJFINANCE Mar 2020 | ROCE Difference = 6.25%
BAJFINANCE Mar 2021 | ROE Difference = 10.13%
BAJFINANCE Mar 2021 | ROCE Difference = 5.47%
BAJFINANCE Mar 2022 | ROE Difference = 6.02%
BAJFINANCE Mar 2022 | ROCE Difference = 6.21%
BAJFINANCE Mar 2023 | ROCE Difference = 7.22%
BAJFINANCE Mar 2024 | ROCE Difference = 7.55%
BANKBARODA Mar 2015 | ROE Difference = 7.30%
BANKBARODA Mar 2016 | ROE Difference = 28.54%
BANKBARODA Mar 2017 | ROE Difference = 12.39%
BANKBARODA Mar 2018 | ROE Difference = 20.64%
BANKBARODA Mar 2019 | ROE Difference = 14.58%
BANKBARODA Mar 2020 | ROE Difference = 15.41%
BANKBARODA Mar 2021 | ROE Difference = 14.73%
BANKBARODA Mar 2022 | ROE Difference = 8.06%
BHARTIARTL Mar 2013 | ROE Difference = 10.40%
BHARTIARTL Mar 2013 | ROCE Difference = 6.51%
BHARTIARTL Mar 2014 | ROE Difference = 9.85%
BHARTIARTL Mar 2014 | ROCE Difference = 6.44%
BHARTIARTL Mar 2015 | ROCE Difference = 14.18%
BHARTIARTL Mar 2016 | ROCE Difference = 7.20%
BHARTIARTL Mar 2017 | ROE Difference = 8.61%
BHARTIARTL Mar 2017 | ROCE Difference = 7.12%
BHARTIARTL Mar 2018 | ROE Difference = 11.76%
BHARTIARTL Mar 2019 | ROE Difference = 12.54%
BHARTIARTL Mar 2020 | ROE Difference = 54.65%
BHARTIARTL Mar 2021 | ROE Difference = 35.87%
BHARTIARTL Mar 2021 | ROCE Difference = 7.32%
BHARTIARTL Mar 2022 | ROCE Difference = 11.25%
BHARTIARTL Mar 2023 | ROCE Difference = 10.38%
BHARTIARTL Mar 2024 | ROCE Difference = 13.15%
BEL Mar 2013 | ROE Difference = 15157.03%
BEL Mar 2013 | ROCE Difference = 2195.40%
BEL Mar 2014 | ROE Difference = 13573.70%
BEL Mar 2014 | ROCE Difference = 3268.97%
BEL Mar 2015 | ROE Difference = 17073.70%
BEL Mar 2015 | ROCE Difference = 3538.13%
BEL Mar 2016 | ROE Difference = 11115.37%
BEL Mar 2016 | ROCE Difference = 3730.26%
BEL Mar 2017 | ROE Difference = 10127.03%
BEL Mar 2017 | ROCE Difference = 4038.13%
BEL Mar 2018 | ROE Difference = 4589.83%
BEL Mar 2018 | ROCE Difference = 2546.41%
BEL Mar 2019 | ROE Difference = 3824.72%
BEL Mar 2019 | ROCE Difference = 2995.61%
BEL Mar 2020 | ROE Difference = 3291.88%
BEL Mar 2020 | ROCE Difference = 2752.27%
BEL Mar 2021 | ROE Difference = 3533.02%
BEL Mar 2021 | ROCE Difference = 2941.33%
BEL Mar 2022 | ROE Difference = 3451.96%
BEL Mar 2022 | ROCE Difference = 2598.47%
BEL Mar 2023 | ROE Difference = 3955.03%
BEL Mar 2023 | ROCE Difference = 3553.12%
BEL Mar 2024 | ROE Difference = 4717.75%
BEL Mar 2024 | ROCE Difference = 3942.57%
BHEL Mar 2013 | ROE Difference = 20.86%
BHEL Mar 2013 | ROCE Difference = 25.24%
BHEL Mar 2014 | ROE Difference = 9.51%
BHEL Mar 2014 | ROCE Difference = 8.81%
BHEL Mar 2016 | ROCE Difference = 7.45%
BHEL Mar 2020 | ROE Difference = 6.17%
BHEL Mar 2021 | ROE Difference = 11.44%
BHEL Mar 2021 | ROCE Difference = 13.14%
BOSCHLTD Mar 2015 | ROCE Difference = 5.96%
BOSCHLTD Mar 2020 | ROE Difference = 8.99%
BOSCHLTD Mar 2021 | ROE Difference = 11.09%
BOSCHLTD Mar 2021 | ROCE Difference = 8.83%
BOSCHLTD Mar 2022 | ROCE Difference = 7.01%
BPCL Mar 2013 | ROE Difference = 30.36%
BPCL Mar 2013 | ROCE Difference = 18.66%
BPCL Mar 2014 | ROE Difference = 21.05%
BPCL Mar 2014 | ROCE Difference = 14.20%
BPCL Mar 2015 | ROE Difference = 19.38%
BPCL Mar 2015 | ROCE Difference = 11.75%
BPCL Mar 2016 | ROE Difference = 12.80%
BPCL Mar 2016 | ROCE Difference = 6.76%
BPCL Mar 2017 | ROE Difference = 11.05%
BPCL Mar 2017 | ROCE Difference = 11.39%
BPCL Mar 2018 | ROE Difference = 15.16%
BPCL Mar 2018 | ROCE Difference = 11.48%
BPCL Mar 2019 | ROE Difference = 19.90%
BPCL Mar 2019 | ROCE Difference = 14.02%
BPCL Mar 2020 | ROE Difference = 31.86%
BPCL Mar 2020 | ROCE Difference = 23.30%
BPCL Mar 2021 | ROE Difference = 9.56%
BPCL Mar 2021 | ROCE Difference = 12.67%
BPCL Mar 2022 | ROE Difference = 19.39%
BPCL Mar 2022 | ROCE Difference = 15.66%
BPCL Mar 2023 | ROE Difference = 37.92%
BPCL Mar 2023 | ROCE Difference = 23.23%
BPCL Mar 2024 | ROE Difference = 6.39%
BRITANNIA Mar 2013 | ROE Difference = 10.51%
BRITANNIA Mar 2014 | ROE Difference = 7.60%
BRITANNIA Mar 2014 | ROCE Difference = 17.24%
BRITANNIA Mar 2015 | ROCE Difference = 13.69%
BRITANNIA Mar 2016 | ROE Difference = 17.66%
BRITANNIA Mar 2016 | ROCE Difference = 6.16%
BRITANNIA Mar 2017 | ROE Difference = 24.27%
BRITANNIA Mar 2018 | ROE Difference = 27.62%
BRITANNIA Mar 2018 | ROCE Difference = 7.29%
BRITANNIA Mar 2019 | ROE Difference = 29.94%
BRITANNIA Mar 2019 | ROCE Difference = 9.62%
BRITANNIA Mar 2020 | ROE Difference = 25.44%
BRITANNIA Mar 2020 | ROCE Difference = 17.88%
BRITANNIA Mar 2022 | ROCE Difference = 5.22%
BRITANNIA Mar 2023 | ROE Difference = 8.43%
BRITANNIA Mar 2023 | ROCE Difference = 5.55%
CANBK Mar 2013 | ROE Difference = 6.00%
CANBK Mar 2014 | ROE Difference = 9.05%
CANBK Mar 2015 | ROE Difference = 8.88%
CANBK Mar 2016 | ROE Difference = 25.72%
CANBK Mar 2017 | ROE Difference = 13.83%
CANBK Mar 2018 | ROE Difference = 28.40%
CANBK Mar 2019 | ROE Difference = 16.05%
CANBK Mar 2020 | ROE Difference = 22.56%
CANBK Mar 2021 | ROE Difference = 13.16%
CANBK Mar 2022 | ROE Difference = 9.10%
CHOLAFIN Mar 2013 | ROCE Difference = 6.40%
CHOLAFIN Mar 2014 | ROCE Difference = 5.82%
CHOLAFIN Mar 2015 | ROCE Difference = 5.71%
CHOLAFIN Mar 2016 | ROCE Difference = 5.57%
CHOLAFIN Mar 2017 | ROCE Difference = 5.74%
CHOLAFIN Mar 2018 | ROCE Difference = 7.06%
CHOLAFIN Mar 2019 | ROCE Difference = 7.53%
CHOLAFIN Mar 2020 | ROE Difference = 7.35%
CHOLAFIN Mar 2020 | ROCE Difference = 6.57%
CHOLAFIN Mar 2021 | ROCE Difference = 6.43%
CHOLAFIN Mar 2022 | ROCE Difference = 6.79%
CHOLAFIN Mar 2023 | ROCE Difference = 7.16%
CHOLAFIN Mar 2024 | ROCE Difference = 6.90%
CIPLA Mar 2013 | ROCE Difference = 37.94%
CIPLA Mar 2014 | ROCE Difference = 48.23%
CIPLA Mar 2015 | ROE Difference = 5.42%
CIPLA Mar 2015 | ROCE Difference = 50.63%
CIPLA Mar 2016 | ROCE Difference = 44.85%
CIPLA Mar 2017 | ROE Difference = 8.55%
CIPLA Mar 2017 | ROCE Difference = 48.63%
CIPLA Mar 2018 | ROE Difference = 6.84%
CIPLA Mar 2018 | ROCE Difference = 44.47%
CIPLA Mar 2019 | ROE Difference = 6.86%
CIPLA Mar 2019 | ROCE Difference = 45.83%
CIPLA Mar 2020 | ROE Difference = 7.28%
CIPLA Mar 2020 | ROCE Difference = 52.16%
CIPLA Mar 2021 | ROCE Difference = 50.49%
CIPLA Mar 2022 | ROCE Difference = 55.80%
CIPLA Mar 2023 | ROCE Difference = 50.42%
CIPLA Mar 2024 | ROCE Difference = 48.66%
COALINDIA Mar 2013 | ROE Difference = 16.19%
COALINDIA Mar 2013 | ROCE Difference = 37.28%
COALINDIA Mar 2014 | ROE Difference = 16.36%
COALINDIA Mar 2014 | ROCE Difference = 60.49%
COALINDIA Mar 2015 | ROE Difference = 17.98%
COALINDIA Mar 2015 | ROCE Difference = 75.69%
COALINDIA Mar 2016 | ROE Difference = 11.04%
COALINDIA Mar 2016 | ROCE Difference = 100.55%
COALINDIA Mar 2017 | ROE Difference = 14.15%
COALINDIA Mar 2017 | ROCE Difference = 175.09%
COALINDIA Mar 2018 | ROE Difference = 17.12%
COALINDIA Mar 2018 | ROCE Difference = 286.17%
COALINDIA Mar 2019 | ROE Difference = 14.01%
COALINDIA Mar 2019 | ROCE Difference = 196.57%
COALINDIA Mar 2020 | ROCE Difference = 129.45%
COALINDIA Mar 2021 | ROE Difference = 17.22%
COALINDIA Mar 2021 | ROCE Difference = 104.78%
COALINDIA Mar 2022 | ROE Difference = 11.72%
COALINDIA Mar 2022 | ROCE Difference = 118.57%
COALINDIA Mar 2023 | ROCE Difference = 80.66%
COALINDIA Mar 2024 | ROE Difference = 6.83%
COALINDIA Mar 2024 | ROCE Difference = 42.11%
DABUR Mar 2013 | ROE Difference = 17.36%
DABUR Mar 2013 | ROCE Difference = 8.26%
DABUR Mar 2014 | ROE Difference = 15.29%
DABUR Mar 2014 | ROCE Difference = 12.24%
DABUR Mar 2015 | ROE Difference = 12.64%
DABUR Mar 2015 | ROCE Difference = 9.99%
DABUR Mar 2016 | ROE Difference = 10.86%
DABUR Mar 2016 | ROCE Difference = 8.21%
DABUR Mar 2017 | ROE Difference = 7.21%
DABUR Mar 2019 | ROE Difference = 6.47%
DABUR Mar 2019 | ROCE Difference = 5.18%
DIVISLAB Mar 2013 | ROE Difference = 11.87%
DIVISLAB Mar 2013 | ROCE Difference = 15.70%
DIVISLAB Mar 2014 | ROE Difference = 13.88%
DIVISLAB Mar 2014 | ROCE Difference = 17.64%
DIVISLAB Mar 2015 | ROE Difference = 12.17%
DIVISLAB Mar 2015 | ROCE Difference = 16.80%
DIVISLAB Mar 2016 | ROE Difference = 14.03%
DIVISLAB Mar 2016 | ROCE Difference = 16.33%
DIVISLAB Mar 2017 | ROE Difference = 7.59%
DIVISLAB Mar 2017 | ROCE Difference = 10.39%
DIVISLAB Mar 2019 | ROE Difference = 7.25%
DIVISLAB Mar 2019 | ROCE Difference = 10.03%
DIVISLAB Mar 2020 | ROE Difference = 6.64%
DIVISLAB Mar 2020 | ROCE Difference = 8.35%
DIVISLAB Mar 2021 | ROE Difference = 9.14%
DIVISLAB Mar 2021 | ROCE Difference = 14.33%
DIVISLAB Mar 2022 | ROE Difference = 13.04%
DIVISLAB Mar 2022 | ROCE Difference = 16.61%
DLF Mar 2015 | ROE Difference = 5.10%
DLF Mar 2016 | ROE Difference = 5.68%
DLF Mar 2018 | ROE Difference = 5.73%
DLF Mar 2020 | ROE Difference = 8.66%
DMART Mar 2016 | ROE Difference = 6.54%
DMART Mar 2016 | ROCE Difference = 5.07%
DMART Mar 2018 | ROCE Difference = 7.09%
DMART Mar 2019 | ROCE Difference = 6.57%
DMART Mar 2021 | ROE Difference = 5.48%
DMART Mar 2021 | ROCE Difference = 5.53%
DRREDDY Mar 2017 | ROE Difference = 10.86%
DRREDDY Mar 2017 | ROCE Difference = 12.11%
DRREDDY Mar 2018 | ROE Difference = 13.87%
DRREDDY Mar 2018 | ROCE Difference = 13.17%
DRREDDY Mar 2019 | ROE Difference = 7.50%
DRREDDY Mar 2019 | ROCE Difference = 8.71%
DRREDDY Mar 2020 | ROE Difference = 8.41%
DRREDDY Mar 2020 | ROCE Difference = 12.59%
DRREDDY Mar 2021 | ROE Difference = 10.33%
DRREDDY Mar 2021 | ROCE Difference = 7.76%
DRREDDY Mar 2022 | ROE Difference = 10.04%
DRREDDY Mar 2022 | ROCE Difference = 9.82%
EICHERMOT Dec 2014 | ROCE Difference = 12.33%
EICHERMOT Mar 2016 | ROE Difference = 12.43%
EICHERMOT Mar 2016 | ROCE Difference = 14.87%
EICHERMOT Mar 2017 | ROE Difference = 6.99%
EICHERMOT Mar 2017 | ROCE Difference = 8.74%
EICHERMOT Mar 2018 | ROCE Difference = 8.02%
EICHERMOT Mar 2020 | ROE Difference = 5.90%
EICHERMOT Mar 2020 | ROCE Difference = 9.76%
EICHERMOT Mar 2021 | ROE Difference = 12.42%
EICHERMOT Mar 2021 | ROCE Difference = 15.80%
EICHERMOT Mar 2022 | ROE Difference = 10.90%
EICHERMOT Mar 2022 | ROCE Difference = 13.97%
EICHERMOT Mar 2023 | ROCE Difference = 8.54%
EICHERMOT Mar 2024 | ROCE Difference = 7.65%
GAIL Mar 2016 | ROE Difference = 8.85%
GAIL Mar 2017 | ROE Difference = 5.42%
GAIL Mar 2019 | ROCE Difference = 5.91%
GAIL Mar 2020 | ROE Difference = 5.31%
GAIL Mar 2022 | ROE Difference = 5.19%
GAIL Mar 2022 | ROCE Difference = 5.98%
GAIL Mar 2023 | ROE Difference = 5.38%
GAIL Mar 2023 | ROCE Difference = 5.64%
GODREJCP Mar 2013 | ROE Difference = 18.74%
GODREJCP Mar 2013 | ROCE Difference = 9.24%
GODREJCP Mar 2014 | ROE Difference = 14.93%
GODREJCP Mar 2014 | ROCE Difference = 7.48%
GODREJCP Mar 2015 | ROE Difference = 15.87%
GODREJCP Mar 2015 | ROCE Difference = 6.87%
GODREJCP Mar 2016 | ROE Difference = 12.71%
GODREJCP Mar 2017 | ROE Difference = 17.90%
GODREJCP Mar 2017 | ROCE Difference = 5.99%
GODREJCP Mar 2018 | ROE Difference = 19.34%
GODREJCP Mar 2018 | ROCE Difference = 5.15%
GODREJCP Mar 2019 | ROE Difference = 25.46%
GODREJCP Mar 2019 | ROCE Difference = 6.47%
GODREJCP Mar 2020 | ROE Difference = 12.18%
GODREJCP Mar 2020 | ROCE Difference = 7.72%
GODREJCP Mar 2021 | ROE Difference = 11.46%
GODREJCP Mar 2021 | ROCE Difference = 5.27%
GODREJCP Mar 2022 | ROE Difference = 8.66%
GODREJCP Mar 2022 | ROCE Difference = 8.32%
GODREJCP Mar 2023 | ROE Difference = 5.57%
GODREJCP Mar 2023 | ROCE Difference = 10.12%
GODREJCP Mar 2024 | ROE Difference = 11.22%
GODREJCP Mar 2024 | ROCE Difference = 7.80%
GRASIM Mar 2013 | ROE Difference = 12.32%
GRASIM Mar 2013 | ROCE Difference = 10.98%
GRASIM Mar 2014 | ROE Difference = 6.77%
GRASIM Mar 2014 | ROCE Difference = 6.40%
GRASIM Mar 2015 | ROCE Difference = 5.37%
GRASIM Mar 2016 | ROE Difference = 5.70%
GRASIM Mar 2016 | ROCE Difference = 5.50%
GRASIM Mar 2017 | ROE Difference = 6.63%
GRASIM Mar 2017 | ROCE Difference = 8.89%
GRASIM Mar 2022 | ROE Difference = 7.90%
GRASIM Mar 2023 | ROE Difference = 7.17%
HAL Mar 2017 | ROE Difference = 1938.02%
HAL Mar 2017 | ROCE Difference = 2358.14%
HAL Mar 2018 | ROE Difference = 1499.56%
HAL Mar 2018 | ROCE Difference = 2562.60%
HAL Mar 2019 | ROE Difference = 1735.01%
HAL Mar 2019 | ROCE Difference = 3201.53%
HAL Mar 2020 | ROE Difference = 2030.52%
HAL Mar 2020 | ROCE Difference = 3446.81%
HAL Mar 2021 | ROE Difference = 2220.41%
HAL Mar 2021 | ROCE Difference = 3521.77%
HAL Mar 2022 | ROE Difference = 3295.28%
HAL Mar 2022 | ROCE Difference = 3245.95%
HAL Mar 2023 | ROE Difference = 3254.15%
HAL Mar 2023 | ROCE Difference = 2938.33%
HAL Mar 2024 | ROE Difference = 3787.68%
HAL Mar 2024 | ROCE Difference = 2988.74%
HAVELLS Mar 2013 | ROE Difference = 22.29%
HAVELLS Mar 2014 | ROE Difference = 8.77%
HAVELLS Mar 2015 | ROCE Difference = 9.28%
HAVELLS Mar 2016 | ROE Difference = 24.95%
HCLTECH Jun 2013 | ROE Difference = 7.39%
HCLTECH Jun 2013 | ROCE Difference = 10.38%
HCLTECH Jun 2014 | ROE Difference = 10.09%
HCLTECH Jun 2014 | ROCE Difference = 9.47%
HCLTECH Jun 2015 | ROE Difference = 7.01%
HDFCBANK Mar 2023 | ROCE Difference = 5.07%
HDFCLIFE Mar 2013 | ROE Difference = 22.03%
HDFCLIFE Mar 2013 | ROCE Difference = 1005.73%
HDFCLIFE Mar 2014 | ROE Difference = 26.20%
HDFCLIFE Mar 2014 | ROCE Difference = 852.36%
HDFCLIFE Mar 2015 | ROE Difference = 19.53%
HDFCLIFE Mar 2015 | ROCE Difference = 1030.03%
HDFCLIFE Mar 2016 | ROE Difference = 14.93%
